stt,category,group,question,answer
64,Chi tieu,,Chủ thẻ phụ thẻ tín dụng quốc tế Vietnam Airlines Techcombank Visa được cấp hạn mức tín dụng như thế nào?,"Được sử dụng chung hạn mức với chủ thẻ chính, hạn mức cụ thể do chủ thẻ chính yêu cầu nhưng không vượt quá hạn mức tín dụng ngân hàng đã cấp cho chủ thẻ chính"
65,Chi tieu,,Cú pháp nhắn tin kích hoạt thẻ khi đăng ký hình thức kích hoạt thẻ qua SMS,"Quý khách hàng soạn tin nhắn theo cú pháp:
TCBKHT <6 số đầu 4 số cuối của thẻ> <số CMND/Hộ chiếu/CCCD> gửi đến 8049.
Ví dụ: TCBKHT 4220751234 0123456789."
66,Chi tieu,,"Để có thể sử dụng thẻ tín dụng quốc tế Vietnam Airlines Techcombank Visa, tôi có bắt buộc phải đổi PIN lần đầu tại ATM không?",Không. Quý khách có thể sử dụng thẻ ngay mà không cần đổi PIN lần đầu tại ATM.
67,Chi tieu,,Khi sử dụng thẻ tín dụng Vietnam Airlines Techcombank Visa để rút tiền mặt tôi có được cộng dặm vào tài khoản Bông Sen Vàng không?,"Quý khách hàng chỉ được cộng điểm vào tài khoản Bông Sen Vàng khi sử dụng thẻ tín dụng quốc tế Vietnam Airlines Techcombank Visa để thanh toán các hóa đơn mua hàng hóa, dịch vụ."
68,Chi tieu,,"Khi sử dụng thẻ tín dụng quốc tế Vietnam Airlines Techcombank Visa để rút tiền mặt tại ATM của ngân hàng khác, tôi có phải trả phí không? Mức phí là bao nhiêu?","Với giao dịch rút tiền bằng thẻ tín dụng quốc tế Techcombank Visa tại ATM của ngân hàng khác, Techcombank sẽ thu mức phí là 4% giá trị giao dịch và tối thiểu là 100.000 đồng (đã bao gồm 10%VAT). Ngoài ra, Quý khách có thể chịu thêm một mức phí do ngân hàng chủ quản ATM thu, mức phí này là khác nhau tùy theo quy định của từng ngân hàng."
69,Chi tieu,,Tôi thực hiện thanh toán bằng thẻ tín dụng quốc tế Vietnam Airlines Techcombank Visa và trả cho cửa hàng bằng USD thì tôi có phải trả phí không?,"Khi sử dụng thẻ tín dụng Techcombank Visa để thanh toán các hóa đơn bằng ngoại tệ, Techcombank sẽ thu phí quản lý chi tiêu ngoại tệ của Quý khách với mức phí theo quy định của Techcombank trong từng thời kỳ. Vui lòng xem biểu phí tại đây."
70,Chi tieu,,Tôi có thể đề nghị ngân hàng nâng hạn mức tín dụng thẻ tín dụng quốc tế Vietnam Airlines Techcombank Visa của tôi không?,Quý khách hàng vui lòng đến chi nhánh để yêu cầu nâng hạn mức tín dụng thẻ và cung cấp các giấy tờ chứng minh thu nhập/ sổ tiết kiệm. Techcombank sẽ xem xét và giải quyết nếu yêu cầu của Quý khách hàng là hợp lệ.
71,Chi tieu,,Ngày sao kê của tôi là Chủ nhật ngày 28/12 thì được chuyển sang ngày nào?,"Nếu ngày sao kê trùng với ngày thứ 7, chủ nhật hoặc ngày lễ thì Ngày sao kê sẽ được chuyển lên trước đó 02 ngày làm việc.
Cụ thể, sao kê được chuyển sang Thứ 6 ngày 26/12."
72,Chi tieu,,Làm thế nào để tôi có thể thanh toán dư nợ của thẻ tín dụng?,"Quý khách hàng có thể thanh toán dư nợ của thẻ tín dụng bằng một trong các cách sau:
- Ghi nợ tự động: Quý khách hàng đăng ký dịch vụ ghi nợ tự động tại bất kỳ điểm giao dịch nào của Techcombank hoặc qua dịch vụ F@st i-Bank (Internet Banking). Quý khách hàng có thể đăng ký thanh toán giá trị tối thiểu hoặc thanh toán toàn bộ dư nợ sao kê của thẻ tín dụng.
- Thanh toán qua dịch vụ F@st i-Bank hoặc F@st Mobile hoặc ATM: Quý khách hàng thực hiện chuyển khoản/thanh toán dư nợ thẻ tín dụng online từ tài khoản thanh toán của Quý khách hàng mở tại Techcombank sang tài khoản thẻ tín dụng.
- Nộp tiền mặt hoặc chuyển khoản tại quầy giao dịch của Techcombank: Quý khách hàng có thể đến bất kỳ điểm giao dịch nào của Techcombank để thực hiện thanh toán dư nợ thẻ tín dụng bằng cách nộp tiền mặt hoặc chuyển khoản từ tài khoản thanh toán mở tại Techcombank vào tài khoản thẻ tín dụng.
- Chuyển khoản từ ngân hàng khác: Quý khách hàng chuyển khoản từ ngân hàng khác với các thông tin: họ tên của Quý khách hàng, số tài khoản thẻ tín dụng của Quý khách hàng (được thể hiện rõ trên Sao kê định kỳ)."
73,Chi tieu,,Điều kiện để tôi có thể phát hành thẻ F@stAccess là gì?,"Để phát hành thẻ thanh toán F@stAccess, Quý khách chỉ cần:
1. Người từ đủ 15 tuổi trở lên
2. Có tài khoản thanh toán tại Techcombank"
74,Chi tieu,,Tôi có thể sử dụng thẻ F@stAccess ở những ATM nào?,"Bên cạnh máy ATM của Techcombank, Quý khách có thể sử dụng thẻ F@stAccess tại ATM của tất cả các ngân hàng trong liên minh thẻ Napas trên toàn quốc."
75,Chi tieu,,Tôi có bắt buộc phải đổi PIN lần đầu trước khi sử dụng thẻ F@stAccess không?,"Theo quy định của Techcombank, Quý khách cần phải đổi PIN lần đầu trước khi sử dụng thẻ F@stAccess."
76,Chi tieu,,PIN thẻ F@stAccess của tôi có mấy số. Tôi có thể đổi mật khẩu mới với 5 số được không?,"PIN thẻ F@stAccess bắt buộc bao gồm 6 số.
Quý khách lưu ý không cung cấp mã PIN cho người khác, không lưu ra giấy. Tránh dùng số CMTND hay ngày sinh để làm mã số PIN."
77,Chi tieu,,Tôi có thể sử dụng thẻ F@stAccess để thực hiện cho các giao dịch thanh toán online không?,"Có. Quý khách có thể dùng thẻ F@stAccess để thanh toán online trên những website có chấp nhận thẻ F@stAccess (chẳng hạn: website của Vietnam Airlines,…)"
78,Chi tieu,,Tôi có thể dùng thẻ F@stAccess để chuyển khoản sang tài khoản của tôi tại ngân hàng khác trên máy ATM không?,Quý khách chỉ có thể dùng thẻ F@stAccess để chuyển khoản sang tài khoản thụ hưởng khác trong cùng hệ thống trên máy ATM của Techcombank.
79,Chi tieu,,Thẻ F@stAccess của tôi có được tự động kích hoạt Internet không?,"Thẻ thanh toán F@stAccess của Quý khách được tự động kích hoạt tính năng thanh toán qua mạng khi phát hành.
Nếu Quý khách không có nhu cầu sử dụng tính năng này thì cần đăng ký hủy với Ngân hàng ngay khi đăng ký phát hành thẻ."
80,Chi tieu,,"Thẻ F@stAccess của tôi có thể thanh toán được tại những website nào, có an toàn không?","1. Thẻ của Quý khách có thể thanh toán trực tuyến tại những website nội địa (merchant country là Việt Nam) hoặc những website khác có cho phép phương thức thanh toán qua Napas
2. Khi thanh toán trực tuyến với thẻ F@st Access, ngoài mã PIN cần nhập, Quý khách được bảo mật giao dịch bằng bước xác thực mật khẩu được tự động gửi đến Quý khách để hoàn thành giao dịch."
81,Chi tieu,,"Tôi nhập sai nhiều lần mật khẩu ngân hàng cung cấp khi thanh toán trực tuyến qua thẻ F@stAccess, tôi cần làm gì?",Quý khách vui lòng liên hệ DVKH 24/7 theo số: 1800588822/ 1800588823 (dành cho khách hàng priority) hoặc tới Chi nhánh gần nhất để được hỗ trợ.
82,Chi tieu,,Thẻ thanh toán của tôi đã hết hạn sử dụng nhưng tài khoản vẫn còn tiền. Vậy tôi có bị mất số tiền còn lại trong tài khoản không?,"Số tiền còn lại trong tài khoản cũng như tài khoản phát hành thẻ của Quý khách vẫn được duy trì. Tuy nhiên, Quý khách nên phát hành thẻ F@stAccess khác thay thế thẻ đã hết hạn để thuận tiện cho việc sử dụng."
83,Chi tieu,,"Khi bị mất thẻ, tôi làm thế nào để khóa thẻ được nhanh nhất?","Quý khách thực hiện ngay một trong các cách sau:
1. Liên hệ DVKH  Techcombank 24/7 số 1800 588 822 hoặc (24) 3944 6699 (với thuê bao ở nước ngoài)
2. Đăng nhập user/tài khoản F@st i-bank để lập yêu cầu khóa thẻ vĩnh viễn hoặc khóa thẻ tạm thời"
84,Chi tieu,,Tôi có được mở lại thẻ thanh toán F@stAccess nếu trước đó tôi đã yêu cầu ngân hàng tạm khóa lại do nghi ngờ thẻ bị lợi dụng?,"Với thẻ thanh toán F@stAccess, Quý khách có thể được mở lại thẻ, NH tiếp nhận yêu cầu trợ giúp mở khóa thẻ của Quý khách qua CN/PGD, hoặc qua F@st i-bank. Tuy nhiên Quý khách cần cân nhắc việc mở lại do thẻ tiềm ẩn nguy cơ xảy ra rủi ro trong tương lai."
85,Chi tieu,,Chương trình cashback 1% - quẹt là sướng” dành cho loại thẻ nào?,"Chương trình ""Cashback 1% - Quẹt là sướng"" là chương trình hoàn tiền trên tổng giá trị thanh toán qua thẻ thanh toán của Techcombank mà khách hàng sử dụng giao dịch.
Chi tiết chương trình tại đây"
86,Chi tieu,,"Tôi muốn tham gia chương trình ""Hoàn tiền không giới hạn – Thẻ thanh toán Techcombank – Quẹt là sướng"" thì cần phải làm gì?","Để nhận được ưu đãi của chương trình ""Hoàn tiền không giới hạn – Thẻ thanh toán Techcombank – Quẹt là sướng"", chủ thẻ cần cần thực hiện:
- Thanh toán chi tiêu, mua sắm hàng hóa, dịch vụ tại các điểm chấp nhận thẻ hoặc các phương thức điện tử (Internet, Mail/Phone order…) qua thẻ thanh toán Techcombank.
- Các giao dịch này được ghi nhận là thành công trên hệ thống thẻ của Techcombank và/hoặc của tổ chức thẻ.
Chi tiết chương trình tại đây"
87,Chi tieu,,"Tham gia chương trình ""Hoàn tiền không giới hạn – Thẻ thanh toán Techcombank – Quẹt là sướng"" thì tôi được ưu đãi gì?","Với chương trình ""Hoàn tiền không giới hạn – Thẻ thanh toán Techcombank – Quẹt là sướng"", Quý khách hàng sẽ được hưởng các ưu đãi:
1. Không giới hạn số tiền được hoàn
2. Không giới hạn lĩnh vực chi tiêu (nhà hàng, khách sạn, mua sắm siêu thị, du lịch, y tế, giáo dục hay thanh toán các sinh hoạt phí như trả tiền điện, tiền nước,…).
3. Không giới hạn số lượng khách hàng.
4. Hoàn tiền 1% trên tổng giá trị thanh toán qua thẻ thanh toán Techcombank hàng tháng.
Chi tiết chương trình tại đây"
88,Chi tieu,,Tôi được hoàn bao nhiêu tiền trên số tiền đã thanh toán qua thẻ thanh toán quốc tế Techcombank Visa/ Vietnam Airlines Techcombank Visa?,"Với chương trình ""Hoàn tiền không giới hạn – Thẻ thanh toán Techcombank – Quẹt là sướng"", số tiền hoàn = 1% * tổng số tiền chi tiêu
Trong đó, tổng số tiền chi tiêu được ghi nhận trên hệ thống thẻ Techcombank - các giao dịch hợp lệ được pháp luật công nhận vào ngày cuối cùng của mỗi tháng.
Chi tiết chương trình tại đây"
89,Chi tieu,,"Tôi đã thực hiện giao dịch thanh toán qua thẻ thanh toán nhưng chưa thấy được hoàn tiền từ chương trình ""Hoàn tiền không giới hạn – Thẻ thanh toán Techcombank – Quẹt là sướng""?","Trong chương trình ""Hoàn tiền không giới hạn – Thẻ thanh toán Techcombank – Quẹt là sướng"", với các giao dịch hợp lệ, tiền sẽ được hoàn từ ngày 20 đến ngày 30 của tháng tiếp theo, hoặc ngày làm việc kế tiếp nếu ngày 30 là ngày nghỉ/ lễ theo quy định của Techcombank.
Trong thời gian diễn ra chương trình, nếu Quý khách hàng cần hỗ trợ bất kỳ thông tin gì, vui lòng liên hệ DVKH 24/7 số 1800588822 hoặc Chi nhánh Techcombank gần nhất.
Chi tiết chương trình tại đây"
90,Chi tieu,,Nếu tôi chưa là Khách hàng của Techcombank hoặc chỉ có thẻ tín dụng mà chưa có thẻ thanh toán Techcombank thì có được áp dụng chương trình này không?,"Nếu quý Khách hàng chưa là Khách hàng của Techcombank hoặc chưa có thẻ thanh toán của Techcombank thì Khách hàng sẽ không được hưởng ưu đãi của chương trình ""Hoàn tiền không giới hạn – Thẻ thanh toán Techcombank – Quẹt là sướng"".
Để tham gia chương trình, Khách hàng vui lòng mang CMND/Thẻ CCCD/ Hộ chiếu còn hiệu lực đến CN/PGD gần nhất để được hỗ trợ mở thẻ và chi tiêu bằng thẻ thanh toán Techcombank.
Chi tiết chương trình tại đây"
91,Chi tieu,,Thẻ tín dụng quốc tế Techcombank Visa có mấy hạng và hạn mức tín dụng của mỗi hạng là bao nhiêu?,"Thẻ tín dụng quốc tế Techcombank Visa gồm 5 hạng:
- Hạng Chuẩn: hạn mức tín dụng từ 10 triệu đến dưới 50 triệu đồng
- Hạng Vàng: hạn mức tín dụng từ 50 triệu đồng trở lên
- Hạng Platinum: hạn mức tín dụng từ 90 triệu đồng trở lên
- Hạng Signature: hạn mức tín dụng từ 120 triệu đồng trở lên
- Hạng Infinite: phát hành giới hạn cho nhóm KH cao cấp của Techcombank"
92,Chi tieu,,Tôi muốn đăng ký phát hành thẻ tín dụng quốc tế Techcombank Visa nhưng không có đủ giấy tờ chứng minh thu nhập. Vậy tôi nên làm gì?,"Nếu Quý khách hàng thuộc diện phê duyệt trước theo quy định của Ngân hàng, chúng tôi sẽ chủ động liên hệ hoặc có thông báo qua ứng dụng trên điện thoại thông minh của Quý khách
Nếu Quý khách hàng không thuộc diện phê duyệt trước, không có đủ giấy tờ chứng minh thu nhập thì Quý khách hàng nên đăng ký phát hành thẻ theo hình thức cầm cố sổ tiết kiệm."
93,Chi tieu,,Tôi có thể đề nghị ngân hàng nâng hạn mức tín dụng thẻ tín dụng quốc tế Techcombank Visa của tôi không?,Quý khách hàng vui lòng đến chi nhánh để yêu cầu nâng hạn mức tín dụng thẻ và cung cấp các giấy tờ chứng minh thu nhập/sổ tiết kiệm. Techcombank sẽ xem xét và giải quyết nếu yêu cầu của Quý khách hàng là hợp lệ.
94,Chi tieu,,Nếu tôi phát hành thẻ tín dụng quốc tế Techcombank Visa theo hình thức có tài sản bảo đảm thì những loại tài sản nào có thể sử dụng để bảo đảm?,Techcombank chỉ áp dụng cầm cố sổ tiết kiệm được mở tại Techcombank để làm tài sản đảm bảo cho việc phát hành thẻ tín dụng theo hình thức có tài sản bảo đảm.
95,Chi tieu,,"Tôi đã có thẻ tín dụng quốc tế Vietnam Airlines Techcombank Visa, vậy tôi có thể phát hành thêm thẻ tín dụng quốc tế Techcombank Visa không?","Có. Quý khách hàng có thể duy trì cùng lúc 2 loại thẻ tín dụng. Tuy nhiên, tổng hạn mức tín dụng cả hai thẻ tín dụng của Quý khách hàng tại cùng một thời điểm không được vượt quá hạn mức tín dụng tối đa được Techcombank cấp cho Quý khách hàng."
96,Chi tieu,,"Tôi muốn phát hành thẻ phụ thẻ tín dụng quốc tế Techcombank Visa cho con tôi. Vậy, con tôi có cần phải chứng minh thu nhập không?","Theo qui định của Techcombank, chủ thẻ phụ không cần phải chứng minh thu nhập"
97,Chi tieu,,Chủ thẻ phụ thẻ tín dụng quốc tế Techcombank Visa được cấp hạn mức tín dụng như thế nào?,"Chủ thẻ phụ được sử dụng chung hạn mức với chủ thẻ chính, hạn mức cụ thể do chủ thẻ chính yêu cầu nhưng không vượt quá hạn mức tín dụng ngân hàng đã cấp cho chủ thẻ chính"
98,Chi tieu,,"Để có thể sử dụng thẻ tín dụng quốc tế Techcombank Visa, tôi có bắt buộc phải đổi PIN lần đầu tại ATM không?",Không. Quý khách hàng có thể sử dụng thẻ ngay mà không cần đổi PIN lần đầu tại ATM.
99,Chi tieu,,"Khi sử dụng thẻ tín dụng quốc tế Techcombank Visa để rút tiền mặt tại ATM của ngân hàng khác, tôi có phải trả phí không? Mức phí là bao nhiêu?","Với giao dịch rút tiền bằng thẻ tín dụng quốc tế Techcombank Visa tại ATM của ngân hàng khác, Techcombank sẽ thu mức phí là 4% giá trị giao dịch và tối thiểu là 100.000 đồng (đã bao gồm 10%VAT). Ngoài ra, Quý khách hàng có thể chịu thêm một mức phí do ngân hàng chủ quản ATM thu, mức phí này là khác nhau tùy theo quy định của từng ngân hàng."
100,Chi tieu,,Tôi thực hiện thanh toán bằng thẻ tín dụng quốc tế Techcombank Visa và trả cho cửa hàng bằng USD thì tôi có phải trả phí không?,"Khi sử dụng thẻ tín dụng Techcombank Visa để thanh toán các hóa đơn bằng ngoại tệ, Techcombank sẽ thu phí quản lý chi tiêu ngoại tệ của Quý khách hàng với mức phí theo quy định của Techcombank trong từng thời kỳ. Vui lòng xem biểu phí tại đây."
101,Chi tieu,,Tôi có nhận hóa đơn sau khi thanh toán bằng thẻ có Contactless?,"Khi thanh toán bằng thẻ có Contactless là hình thức thanh toán chạm để thanh toán mà không cần bất cứ giấy tờ gì khác, nhưng bạn vẫn có thể yêu cầu hóa đơn khi cần thiết."
102,Chi tieu,,Có trường hợp thanh toán 2 lần với thẻ có Contactless trên tài khoản của tôi?,"Không. Máy thanh toán có Contactless được thiết kế chỉ 01 giao dịch cho 01 thẻ trong cùng 01 thời điểm.Để đảm bảo an toàn, mỗi giao dịch phải được hoàn tất hoặc hủy trước khi tiến hành thực hiện giao dịch khác."
103,Chi tieu,,Contactless áp dụng trên các loại thẻ nào?,"Áp dụng với các loại thẻ Visa: thẻ tín dụng, thẻ thanh toán/thẻ ghi nợ và thẻ trả trước."
104,Chi tieu,,Tôi có thể kiểm tra chi tiêu như thế nào khi dùng thẻ có Contactless?,"Với thẻ tín dụng, bạn có thể kiểm tra chi tiết giao dịch đã chi tiêu thông qua Sao kê thẻ tín dụng  hàng tháng Ngân hàng gửi. Với thẻ thanh toán/thẻ ghi nợ, bạn có thể kiểm tra giao dịch chi tiêu của mình trên sổ phụ ngân hàng/ liệt kê giao dịch tài khoản qua các ứng dụng dịch vụ ngân hàng điện tử của Techcombank."
105,Chi tieu,,Tôi có thể vô tình thực hiện thanh toán khi đi ngang qua máy thanh toán thẻ hay không?,"Không. Việc thiết kế Contactless được đảm bảo rằng chủ thẻ sẽ luôn được kiểm soát. Trước tiên, người bán hàng cần nhập giá trị thanh toán và thẻ của bạn cần được giữ khoản cách theo qui định của thiết bị thanh toán thì giao dịch mới có thể thực hiện được. Thiết bị thanh toán chỉ xử lý 01 giao dịch tại 01 thời điểm."
106,Bao hiem,,Tại sao cần mua bảo hiểm xe ô tô?,"Với mật độ giao thông đông đúc như hiện nay tại Việt Nam, hợp đồng bảo hiểm xe ô tô sẽ giúp Khách hàng hoàn toàn an tâm luôn có Công ty Bảo hiểm hỗ trợ mọi chi phí sửa chữa, bảo dưỡng tài sản của mình nếu gặp sự cố trên đường 24/24,  thậm chí Khách hàng sẽ được Công ty Bảo hiểm cam kết cấp một chiếc xe ô tô mới với trường hợp bị tổn thất nghiêm trọng (75% giá trị xe) hoặc chiếc xe bị mất trộm.

 

Ngoài ra, để hỗ trợ ngân hàng quản trị rủi ro hiệu quả, việc tham gia bảo hiểm xe ô tô là một trong các điều kiện cần và đủ đối với Hợp đồng Vay mua xe ô tô của khách hàng. Điều kiện này đã được qui định trong thủ tục vay tại Techcombank giống như tại các Ngân hàng khác."
107,Bao hiem,,"Tôi có người quen làm đại lý bảo hiểm xe ô tô, vậy tôi có thể không mua bảo hiểm xe ô tô tại Techcombank được không?","Khách hàng có thể tự lưa chọn các Công ty Bảo hiểm phù hợp cho mình, tuy nhiên Techcombank khuyến khích Khách hàng nên cân nhắc và lựa chọn dịch vụ này tại Techcombank vì sẽ mang lại các tiện ích và quyền lợi ưu đãi cho Khách hàng như:
- Được hưởng phí bảo hiểm ưu đãi tới 30% so với giá thị trường
- Được bảo hiểm miễn phí 3 quyền lợi mở rộng (chọn cơ sở sữa chữa, thay mới không khấu hao, động cơ
  bị thiệt hại do hiện tượng thủy kích)
- Được đơn giản hơn về các thủ tục hồ sơ bảo hiểm trước khi giải ngân
- Được cam kết dịch vụ chất lượng trước và sau bán hàng bởi các Đối tác bảo hiểm dẫn đầu thị trường
- Được Techcombank hỗ trợ và tư vấn thông tin và thủ tục bồi thường sau này

 

Quan trọng nhất Khách hàng có thể được tư vấn và chọn lựa ngay tại Techcombank các Công ty Bảo hiểm dẫn đầu thị trường Việt nam đang hợp tác với Techcombank để đem đến cho Khách hàng sự đơn giản và thuận tiện về thủ tục với cam kết đảm bảo dịch vụ chất lượng trước và sau bán hàng dành cho Khách hàng của Techcombank."
108,Bao hiem,,"Khi xảy ra tai nạn hoặc đụng xe trên đường , tôi cần gọi cho ai? Techcombank hay công ty bảo hiểm?",Khách hàng có thể gọi cho đường dây nóng của Công ty Bảo hiểm (số điện thoại được ghi trong giấy chứng nhận bảo hiểm – giấy tờ này luôn được Khách hàng mang theo trên đường) hoặc gọi đường dây nóng của Techcombank để được hướng dẫn và hỗ trợ.
109,Bao hiem,,Tôi đã có Hợp đồng bảo hiểm xe ô tô từ trước nhưng không có 3 sản phẩm quyền lợi mở rộng. Vậy tôi có bắt buộc phải mua bổ sung hay không?,"Về quản trị rủi ro của Ngân hàng: Điều kiện có 3 quyền lợi mở rộng là điều kiện bắt buộc

Về quyền lợi của khách hàng: 3 quyền lợi mở rộng này sẽ giúp tăng tính toàn diện và đầy đủ về quyền lợi bảo hiểm cho giá trị tài sản của Khách hàng trước những rủi ro không thể lường trước gây thiệt hại về kinh tế cho khách hàng.

Do vậy Khách hàng cần và nên mua đủ 3 quyền lợi mở rộng này trong bất kỳ trường hợp nào."
110,Bao hiem,,"Tôi mua xe ô tô và được showroom tặng hợp đồng bảo hiểm xe, vậy hợp đồng này có đủ tính hợp lệ để hoàn tất hồ sơ vay thế chấp với Techcombank hay không?","Đối với những hợp đồng Bảo hiểm Khách hàng mua hoặc được tặng của các Công ty Bảo hiểm nằm ngoài danh sách các đối tác của Techcombank, Khách hàng cần thực hiện thủ tục xác nhận 3 bên chuyển quyền thụ hưởng bảo hiểm cho Techcombank (theo mẫu của Techcombank). Nếu mua bảo hiểm của các đối tác BH của Techcombank, Khách hàng sẽ không phải làm thủ tục này."
111,Bao hiem,,Có gì khác biệt nếu như tôi đến Techcombank chọn gói vay tiền mua ô tô đồng thời vay tiền mua bảo hiểm thay vì tôi tự túc trả phí bảo hiểm?,"Khi chọn gói SP vay chi trả phí BH, sẽ mang lại cho KH các tiện ích và quyền lợi như sau:
+ Khách hàng sẽ được hưởng mức phí ưu đãi hơn, thấp hơn 20% so với mua từng năm
+ Khách hàng luôn yên tâm và không phải mất thời gian gia hạn bảo hiểm hàng năm vì tài sản của Khách hàng sẽ được bảo hiểm trong suốt thời gian vay tại Techcombank
+ Khách hàng không phải đóng ngay một khoản phí bảo hiểm lớn, thay vào đó số tiền này sẽ được chia
nhỏ và Khách hàng sẽ đóng gộp với tiền vay và lãi hàng tháng."
112,Bao hiem,,"Tôi mua ô tô và cũng đã có bảo hiểm từ trước, nay tôi muốn sử dụng chiếc ô tô này làm tài sản đảm bảo để vay thế chấp tại Techcombank. Như vậy tôi có cần mua thêm bảo hiểm tại Tehcombank hay không?","Để đảm bảo an toàn cho tài sản của Khách hàng đồng thời hỗ trợ ngân hàng quản trị rủi ro, tại các ngân hàng hiện nay trong đó có Techcombank có yêu cầu thời hạn của hợp đồng bảo hiểm xe ô tô ít nhất một năm trở lên. Như vậy, nếu Khách hàng đã mua bảo hiểm xe ô tô cho mình từ trước, Khách hàng có thể kiểm tra xem thời gian đã mua bảo hiểm là bao lâu và nếu thiếu. có thể được yêu cầu mua bổ sung để đủ một năm  hoặc được khuyến khích mua cho thời gian còn lại của khoản vay tại Ngân hàng."
113,Bao hiem,,"Tại các Ngân hàng khác, sau khi giải ngân khoản vay, Khách hàng chỉ được giữ bản sao của Hợp đồng bảo hiểm trong khi đó nếu mua bảo hiểm xe ô tô tại Techcombank, Khách hàng sẽ được giữ bộ hợp đồng gốc , vậy việc được giữ bộ hợp đồng gốc có ưu điểm gì?","Trường hợp Khách hàng chỉ được giữ bản sao của Hợp đồng bảo hiểm, để hoàn tất thủ tục bồi thường với Công ty BH, Khách hàng sẽ mất thời gian và chi phí đi lại để xin xác nhận của NH.
 
Việc Khách hàng được lưu giữ bộ hợp đồng BH gốc sẽ giúp Khách hàng thuận lợi và nhanh chóng hơn rất nhiều trong quá trình thực hiện bồi thường nếu có rủi ro hay tổn thất xảy ra."
114,Bao hiem,,Tôi có thể mua với giá trị bảo hiểm thấp hơn giá trị xe được không?,"Với Ngân hàng, việc mua bảo hiểm thấp hơn 100% giá trị xe sẽ không ảnh hưởng nhiều đến vấn đề quản trị rủi ro, tuy nhiên sẽ rất ảnh hưởng đến quyền lợi của Khách hàng, như sau:
+ Trưởng hợp khi xảy ra tổn thất, khách hàng phải đưa xe vào gara sửa chữa hoặc thay linh kiện hoặc phụ tùng mới, Công ty Bảo hiểm sẽ chỉ chi trả  một phần tương đương với tỷ lệ % chi phí sửa chữa hoặc giá trị của linh kiện hay phụ tùng thay thế, chính vì vậy, Khách hàng sẽ rất thiệt thòi khi phải mất thêm chi phí không nhỏ để trả tiền sửa chữa xe hay mua linh kiện hoặc phụ tùng mới thay thế.
+ Việc mua bảo hiểm không đủ giá trị xe, thủ tục tiến hành bồi thường sẽ phức tạp hơn liên quan đến việc thẩm định và định giá tổn thất theo tỷ lệ thấp hơn với giá trị bồi thường thực tế. Khách hàng sẽ mất nhiều thời gian hơn để được nhận tiền bồi thường.
Chính vì vậy để đảm bảo tài sản của Khách hàng luôn được bảo hiểm đầy đủ và toàn diện, Khách hàng cần mua bảo hiểm cho 100% giá trị xe."
115,Bao hiem,,Tại sao cần mua bảo hiểm nhà tư nhân?,"Bảo hiểm nhà tư nhân sẽ giúp Khách hàng hoàn toàn an tâm khi tài sản của mình luôn có Công ty Bảo hiểm bảo vệ 24/24 và hỗ trợ mọi chi phí sửa chữa và xây dựng căn nhà, cũng như chi phí sửa chữa thay thế bộ phận cho xe nếu nhà và xe gặp các sự cố.

Ngoài ra, để hỗ trợ ngân hàng quản trị rủi ro hiệu quả, việc tham gia bảo hiểm nhà tư nhân là một trong các điều kiện cần và đủ đối với Hợp đồng Vay mua nhà của khách hàng. Điều kiện này đã được qui định trong thủ tục vay tại Techcombank."
116,Bao hiem,,"Tôi có người quen làm đại lý bảo hiểm, vậy tôi có thể không mua bảo hiểm tại Techcombank không?","Khách hàng có thể tự lưa chọn các Công ty Bảo hiểm phù hợp cho mình, tuy nhiên Techcombank khuyến khích Khách hàng nên cân nhắc và lựa chọn dịch vụ này tại Techcombank vì sẽ mang lại các tiện ích và quyền lợi ưu đãi cho Khách hàng như:

Phí bảo hiểm đã được Techcombank thỏa thuận với Công ty bảo hiểm để cấp cho khách hàng của Techcombank với mức phí ưu đãi so với giá thị trường
Hợp đồng bảo hiểm đã được Techcombank thỏa thuận với đối tác để đảm bảo tối đa quyền lợi cho khách hàng.
Được đơn giản hơn về các thủ tục hồ sơ bảo hiểm trước khi giải ngân
Được Techcombank hỗ trợ và tư vấn thông tin và thủ tục bồi thường sau này

Quan trọng nhất Khách hàng có thể được tư vấn và chọn lựa ngay tại Techcombank các Công ty Bảo hiểm dẫn đầu thị trường Việt nam đang hợp tác với Techcombank để đem đến cho Khách hàng sự đơn giản và thuận tiện về thủ tục với cam kết đảm bảo dịch vụ chất lượng trước và sau bán hàng dành cho Khách hàng của Techcombank."
117,Bao hiem,,"Khi sự kiện bảo hiểm xảy ra, tôi cần gọi cho ai? Techcombank hay công ty bảo hiểm?",Khách hàng có thể gọi cho đường dây nóng của Công ty Bảo hiểm (số điện thoại được ghi trong giấy chứng nhận bảo hiểm nhà của Khách hàng) hoặc liên hệ chuyên viên Techcombank phụ trách khoản vay của khách hàng để được hướng dẫn và hỗ trợ.
